chair,Three-legged dog,,Crescent lunge,Full locust,Seated twist,Chaturanga,crescent,rainbow,low lunge,Legs up the wall,,anjaneyasana,locust,,chaturanga,cobra waves,plank,childs pose,half bow,plank,spinal balance crunches,spinal balance crunches,gate pose,cow,spinal balance crunches,plank,plank,plank,triangle,chair,airplane arms,stop,crescent,crescent,prasarita,legs up the wall,locust,tadasana,
Chaturanga,low lunge,Half bow,airplane arms,Forward fold,Supine twist,Forearm plank,eagle arms,horizon lunge,twist,Baddha konasana,,standing forward fold,bow,,chair,tabletop,chaturanga,tabletop,wrist stretch,downdog,half bow,half bow,downdog,downdog,half bow,cobra,cobra,cobra,warrior 2,chair twist,crescent,,airplane arms,pyramid,boat,seated twist,bow,tree,
Three-legged dog,cat/cow lunges,Tabletop,Prasarita,Sun a,Happy baby,Dolphin,warrior 3,side plank,half splits,Seated twist,,tadasana,stop,,malasana,childs pose,cobra waves,downdog,downdog,plank,downdog,downdog,plank,kneel,downdog,childs pose,childs pose,childs pose,triangle,chair,cactus arms,,warrior 3,warrior 2,locust,bridge,camel,triangle,
low lunge,low lunge,Downdog,Skandasana,chair,savasana,Pincha Mayurasana,standing leg raise,chaturanga,half splits with twist,four-seven-eight breathing,,chair,,,crow,downdog,tabletop,plank,sun A,downdog,plank,plank,cobra waves,childs pose,plank,tabletop,tabletop,tabletop,reverse triangle,airplane arms,vinyasa,,standing splits,reverse triangle,bridge,headstand,wheel,extended side angle,
cat/cow lunges,Crescent lunge,forward fold,low lunge twist,crescent twist,,childs pose,eagle arms,warrior 3,chair,legs up the wall,,eagle,,,crane,plank,childs pose,cobra waves,,plank,downdog,sun A,childs pose,kneel,sun A,downdog,downdog,downdog,low lunge twist,standing forward fold,crescent,,shiva squat,extended side angle,supine twist,janu sirsasana,bridge,warrior 1,
cat/cow lunges,airplane arms,malasana,Chaturanga,Prasarita,,easy seat,eagle,crescent,twisted chair,seated forward fold,,standing leg raise,,,chaturanga,chaturanga,downdog,childs pose,low lunge,cobra waves,plank,forward fold,tabletop,tabletop,standing forward fold,sun a,sun a,sun a,lizard,vinyasa,airplane arms,,standing forward fold,low lunge twist,hero's pose,hero's pose,malasana,warrior 2,
low lunge,Crescent lunge,Tadasana,Three-legged dog,goddess,,janu sirsasana,warrior 3,triangle,crescent,janu sirsasana,,figure 4,,,downdog,cobra waves,plank,tabletop,cat/cow lunges,childs pose,sun A,anjaneyasana,downdog,cow,anjaneyasana,sun a,sun a,sun a,vinyasa,downdog,crescent,,downdog,standing forward fold,downdog,pidgeon,stop,half moon,
Crescent lunge,Warrior 2,forward fold,Crescent,low lunge,,seated forward fold,standing splits,half moon,splits,Reclined figure 4,,standing leg raise,,,stop,tabletop,chaturanga,downdog,anjaneyasana,tabletop,anjaneyasana,anjaneyasana with hands in prayer,sun A,downdog,eagle arms,crescent,crescent,low lunge,warrior 2,crescent,cactus arms,,warrior 2,stop,sun a,prasarita,,pyramid,
airplane pose,reverse warrior 2,Plank,cat/cow lunges,cat/cow lunges,,seated twist,forward fold,revolved triangle,seated forward fold,Happy baby,,hand to foot,,,,childs pose,cobra waves,plank,runner's lunge,downdog,eagle arms,plank,dolphin pose,kneel,anjaneyasana with hands in prayer,reaching crescent,crescent twist,crescent,triangle,crescent twist,standing leg raise,,reverse warrior 2,,tree,extended side angle,,prasarita,
Crescent lunge,Triangle,Cobra,Horizon lunge/rainbow,Pyramid,,happy baby,happy baby,revolved half moon,janu sirsasana,Supine twist,,standing leg raise,,,,downdog,tabletop,cobra waves,anjaneyasana,plank,anjaneyasana with hands in prayer,locust,forearm plank,childs pose,vinyasa,airplane arms,reaching crescent,crescent twist,reverse triangle,crescent,hand to foot,,triangle,,triangle,tree,,chair,
warrior 2,Reverse triangle,Plank,Prasarita,Revolved pyramid,,supine twist,supine twist,warrior 3,Reclined figure 4,Savasana,,standing splits,,,,plank,childs pose,tadasana,runner's lunge,cobra waves,plank,locust,hip dips,kneel,locust,crescent,standing leg raise,warrior 2,low lunge twist,reaching crescent,standing leg raise,,reverse triangle,,extended side angle,janu sirsasana,,gate pose,
reverse warrior 2,Extended side angle,Downdog,Skandasana,pyramid,,savasana,savasana,airplane pose,Happy baby,,,standing forward fold,,,,chaturanga,downdog,sun A,low lunge,childs pose,locust,bow,childs pose,sun A,locust,reaching crescent,reaching crescent,reverse warrior 2,low lunge,vinyasa,warrior 3,,extended side angle,,half moon,malasana,,downdog,
Triangle,Low lunge,Three-legged dog,Eagle,downdog,,,,airplane arms,Supine twist,,,malasana,,,,cobra waves,sun A,,anjaneyasana,tabletop,locust,childs pose,dolphin pose,sun A,childs pose,cactus arms,lizard,vinyasa,standing splits,downdog,vinyasa,,vinyasa,,handstand,bridge,,hero's pose,
Reverse triangle,Simple twist,Anjaneyasana,Warrior 2,Chaturanga,,,,crescent,Savasana,,,boat,,,,tabletop,sun A,sun B,runner's lunge,sun A,bow,crescent,forearm plank,plank,downdog,crescent,standing forward fold,chair pose,standing leg raise,crescent,forearm plank,,pidgeon,,low boat,gomukhasana,,downdog,
Revolved triangle,Side plank,Half splits,Vinyasa,downdog,,,,,,,,high plank,,,,childs pose,crescent,sun B,airplane arms,low lunge,childs pose,crescent twist,hip dips,forearm plank,crescent,reaching crescent,crescent,standing leg raise,tree,crescent twist,locust,,bridge,,cobra,downdog,,legs up the wall,
Extended side angle,Chaturanga,half splits with twist,Chair,Three-legged dog,,,,,,,,side plank,,,,downdog,crescent twist,crescent,airplane pose,runner's lunge,crescent,reverse crescent twist,childs pose,sphinx,crescent twist,airplane arms,crescent twist,hand to foot,warrior 3,crescent,forearm plank,,stop,,locust,pincha mayurasana,,headstand,
Extended side angle,tabletop,Crescent lunge,Drinking bird,Crescent lunge,,,,,,,,childs pose,,,,sun A,low lunge twist,anjaneyasana,standing splits,anjaneyasana,crescent twist,lizard,crescent,locust,crescent,crescent,reaching crescent,standing leg raise,low lunge,reaching crescent,locust,,,,baddha konasana,downdog,,hero's pose,
Low lunge,seated forward fold,crescent twist,chair,Airplane arms,,,,,,,,bridge,,,,sun A,lizard,runner's lunge,shiva squat,runner's lunge,standing leg raise,downdog,low lunge,childs pose,low lunge,reaching crescent,standing leg raise,warrior 3,vinyasa,standing leg raise,pidgeon,,,,seated forward fold,childs pose,,downdog,
low lunge twist,janu sirsasana,prasarita,Crow,standing splits,,,,,,,,reverse plank,,,,tadasana,downdog,anjaneyasana,triangle,anjaneyasana,figure 4,gate pose,crescent,downdog,crescent,cactus arms,tree,standing splits,downdog,hand to foot,stop,,,,malasana,handstand,,hero's pose,
Chaturanga,pidgeon,Warrior 2,Vinyasa,Low lunge,,,,,,,,thread the needle,,,,crescent,crescent,runner's lunge,vinyasa,runner's lunge,reaching crescent,side plank,low lunge,low lunge,low lunge,vinyasa,standing leg raise,low lunge,dolphin,standing figure 4,,,,,stop,childs pose,,downdog,
forward fold,supine twist,Reverse warrior 2,Tadasana,Standing splits,,,,,,,,happy baby,,,,standing leg raise,crescent twist,anjaneyasana,downdog,airplane arms,vinyasa,crescent,anjaneyasana,cat/cow lunges,crescent,crescent,reaching crescent,crescent,forearm plank,standing leg raise,,,,,,seated forward fold,,standing forward fold,
Lizard,happy baby,Low lunge,Single leg raise,Standing leg raise,,,,,,,,supine twist,,,,eagle,low lunge twist,runner's lunge,warrior 2,airplane pose,chair,crescent twist,runner's lunge,anjaneyasana,standing leg raise,crescent twist,lizard,crescent twist,dolphin,warrior 3,,,,,,tadasana,,tadasana,
Chaturanga,Savasana,Three-legged dog,Straighten leg,warrior 3,,,,,,,,savasana,,,,standing leg raise,lizard,downdog,reverse warrior 2,standing leg raise,eagle arms,warrior 2,anjaneyasana,twist,figure 4,warrior 2,standing forward fold,warrior 2,pincha mayurasana,vinyasa,,,,,,warrior 1,,warrior 2,
Low lunge,,Vinyasa,Warrior 3,Airplane pose,,,,,,,,,,,,reaching crescent,anjaneyasana,warrior 2,triangle,tree,eagle,reverse warrior 2,runner's lunge,lean back,standing leg raise,reverse warrior 2,warrior 2,reverse warrior 2,dolphin,stop,,,,,,humble warrior,,triangle,
half splits,,forward fold,Crescent,Chair,,,,,,,,,,,,downdog,half splits,triangle,reverse triangle,standing leg raise,tadasana,high plank,anjaneyasana,vinyasa,reaching crescent,vinyasa,reverse warrior 2,vinyasa,downdog,,,,,,,warrior 2,,warrior 1,
Crescent lunge,,Chair pose,Seated forward fold,Chair twist,,,,,,,,,,,,tadasana,downdog,reverse triangle,vinyasa,reaching crescent,prasarita,side plank,runner's lunge,chair,vinyasa,crescent,triangle,warrior 2,pidgeon,,,,,,,vinyasa,,prasarita,
Warrior 2,,airplane arms,Seated twist,Forward fold,,,,,,,,,,,,warrior 3,warrior 2,prasarita,downdog,vinyasa,prasarita twist,plank,airplane arms,reaching crescent,tadasana,crescent twist,reverse triangle,reverse warrior 2,stop,,,,,,,downdog,,headstand,
Extended side angle,,standing leg raise,Supine twist,Chaturanga,,,,,,,,,,,,tadasana,reverse warrior 2,prasarita twist,warrior 2,warrior 2,bound prasarita,bow,vinyasa,crescent,chair,warrior 2,extended side angle,triangle,,,,,,,,bridge,,bridge,
Bird of paradise,,hand to foot,Happy baby,Chair pose,,,,,,,,,,,,crescent,triangle,low lunge,reverse warrior 2,reverse warior 2,chair pose,downdog,tadasana,crescent twist,eagle,reverse warrior 2,vinyasa,reverse triangle,,,,,,,,bow ,,wheel,
Extended side angle,,standing leg raise,Savasana,drinking bird,,,,,,,,,,,,standing leg raise,reverse triangle,vinyasa,triangle,triangle,chair twist,pidgeon,chair pose,warrior 2,tadasana,vinyasa,warrior 2,extended side angle,,,,,,,,seated twist,,seated forward fold,
Chaturanga,,straighten leg,,Malasana,,,,,,,,,,,,eagle,extended side angle,downdog,reverse triangle,reverse triangle,seated figure 4,easy seat,crescent,extended side angle,prasarita,warrior 2,triangle,lizard,,,,,,,,janu sirsasana,,boat,
downdog,,warrior 3,,Crow,,,,,,,,,,,,standing leg raise,prasarita,crescent,prasarita,extended side angle,boat,bicycles,crescent twist,reverse warrior 2,prasarita twist,triangle,reverse triangle,vinyasa,,,,,,,,baddha konasana,,low boat,
pidgeon,,Crescent,,Chaturanga,,,,,,,,,,,,reaching crescent,downdog,crescent twist,vinyasa,humble warrior,low boat,seated figure 4,warrior 2,vinyasa,bound prasarita,reverse triangle,prasarita,downdog,,,,,,,,malasana,,standing forward fold,
downdog,,three-legged dog,,Headstand,,,,,,,,,,,,downdog,warrior 2,crescent,downdog,vinyasa,boat,bridge,extended side angle,horizon lunge,tadasana,prasarita,skandasana,dolphin,,,,,,,,tadasana,,tree,
Flip dog,,Vinyasa,,Seated forward fold,,,,,,,,,,,,tadasana,reverse warrior 2,airplane arms,stop,standing forward fold,bridge,bridge,reverse warrior 2,rainbow,chair pose,prasarita twist,low lunge,forearm plank,,,,,,,,standing forward fold,,warrior 2,
pidgeon,,Three-legged dog,,Seated twist,,,,,,,,,,,,childs pose,triangle,reaching crescent,,tadasana,bridge,seated twist,vinyasa,horizon lunge,chair twist,skandasana,vinyasa,sphinx,,,,,,,,tadasana,,half moon,
downdog,,Low lunge,,Supine twist,,,,,,,,,,,,vinyasa,reverse triangle,lizard,,prasarita,seated twist,happy baby,low lunge,rainbow,easy seat,low lunge,thirds down core exercise,forearm side plank,,,,,,,,triangle,,warrior 1,
Flip dog,,cat/cow lunges,,Happy baby,,,,,,,,,,,,downdog,extended side angle,downdog,,prasarita twist,happy baby,savasana,horizon lunge,side plank,seated figure 4,vinyasa,reclined figure 4,high plank,,,,,,,,extended side angle,,eagle,
tabletop,,Crescent lunge,,Savasana,,,,,,,,,,,,extended side angle,prasarita,crescent,,chair pose,savasana,,rainbow,high plank,bicycles,thirds down core exercise,bridge,downdog,,,,,,,,prasarita,,prasarita,
supine twist,,standing splits,,,,,,,,,,,,,,warrior 2,downdog,crescent twist,,chair twist,,,horizon lunge,locust,bridge,reclined figure 4,wheel,childs pose,,,,,,,,stop,,headstand,
Savasana,,half moon,,,,,,,,,,,,,,reverse warrior 2,plank,crescent,,seated figure 4,,,rainbow,bow,bridge,bridge,supine twist,pidgeon,,,,,,,,,,pyramid,
,,Warrior 2,,,,,,,,,,,,,,triangle,plank,crescent with airplane arms,,legs up the wall,,,high plank,downdog,supine twist,wheel,happy baby,janu sirsasana,,,,,,,,,,crescent,
,,Reverse warrior 2,,,,,,,,,,,,,,prasarita,childs pose,reaching crescent,,thirds down core exercise,,,locust,fallen triangle,happy baby,supine twist,savasana,stop,,,,,,,,,,warrior 3,
,,low lunge,,,,,,,,,,,,,,goddess,side plank,warrior 3,,bridge,,,bow,bridge,savasana,happy baby,,,,,,,,,,,,malasana,
,,High plank,,,,,,,,,,,,,,low lunge,childs pose,standing leg raise,,bridge,,,downdog,janu sirsasana,,savasana,,,,,,,,,,,,stop,
,,Vinyasa,,,,,,,,,,,,,,downdog,fallen triangle,tree,,wheel,,,pidgeon,seated forward fold,,,,,,,,,,,,,,,
,,Three-legged dog,,,,,,,,,,,,,,extended side angle,seated twist,reaching crescent,,seated twist,,,flip dog,supine twist,,,,,,,,,,,,,,,
,,Lizard,,,,,,,,,,,,,,warrior 2,boat,downdog,,happy baby,,,downdog,happy baby,,,,,,,,,,,,,,,
,,Flip dog,,,,,,,,,,,,,,reverse warrior 2,half boat,plank,,savasana,,,tabletop,savasana,,,,,,,,,,,,,,,
,,tabletop,,,,,,,,,,,,,,triangle,boat,side plank,,,,,boat,,,,,,,,,,,,,,,,
,,Easy seat,,,,,,,,,,,,,,prasarita,half boat,boat,,,,,low boat,,,,,,,,,,,,,,,,
,,Cat cows,,,,,,,,,,,,,,goddess,bridge,reverse plank,,,,,happy baby,,,,,,,,,,,,,,,,
,,Baddha Konasana,,,,,,,,,,,,,,goddess,reclined figure 4,gate pose,,,,,supine twist,,,,,,,,,,,,,,,,
,,Supine twist,,,,,,,,,,,,,,low lunge,supine twist,boat,,,,,savasana,,,,,,,,,,,,,,,,
,,Happy baby,,,,,,,,,,,,,,downdog,happy baby,low boat,,,,,,,,,,,,,,,,,,,,,
,,Savasana,,,,,,,,,,,,,,high plank,savasana,boat,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,side plank,,low boat,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,childs pose,,bridge,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,bridge,,bridge,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,reverse plank,,wheel,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,thread the needle,,reclined figure 4,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,happy baby,,supine twist,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,supine twist,,happy baby,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,savasana,,savasana,,,,,,,,,,,,,,,,,,,,,
